TestName,StartTime,TimeStamp,ActionDesc,ActionDuration,
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:36,004 Navigate in folders to 'Price Explorer',3766,FolderNavigation
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:36,005 Set field 'Target Unit' to value 'Package',328,Client
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:36,006 Apply changes,2000,PriceExplorer
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:37,007 Set field 'Target Unit' to value 'Piece',453,Client
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:37,008 Set field 'Y Axis' to value 'Percent',234,Client
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:37,009 Apply changes,1969,PriceExplorer
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:37,010 Select graph type 'Scatter',2141,PriceExplorer
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:37,011 Filter by time,2938,PriceExplorer
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:37,012 Clear filters,719,PriceExplorer
A - Price Explorer,12/15/2010 17:36,12/15/2010 17:38,013 Logout ,1391,Login
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,001 Open login page,219,Other
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,002 Login as 'regadminNL2',1797,Login
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,003 Navigate in main menu to 'Track and Analyze',7875,FolderNavigation
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,004 Navigate in folders to 'Price Explorer',3922,FolderNavigation
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,005 Set field 'Target Unit' to value 'Package',359,Client
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:38,006 Apply changes,1875,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,007 Set field 'Target Unit' to value 'Piece',344,Client
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,008 Set field 'Y Axis' to value 'Percent',344,Client
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,009 Apply changes,2156,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,010 Select graph type 'Scatter',2328,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,011 Filter by time,2953,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:39,012 Clear filters,828,PriceExplorer
A - Price Explorer,12/15/2010 17:38,12/15/2010 17:40,013 Logout ,2375,Login
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,001 Open login page,281,Other
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,002 Login as 'regadminNL2',1703,Login
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,003 Navigate in main menu to 'Track and Analyze',7563,FolderNavigation
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,004 Navigate in folders to 'Price Explorer',3047,FolderNavigation
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,005 Set field 'Target Unit' to value 'Package',250,Client
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,006 Apply changes,1750,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,007 Set field 'Target Unit' to value 'Piece',297,Client
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,008 Set field 'Y Axis' to value 'Percent',422,Client
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:40,009 Apply changes,1797,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,010 Select graph type 'Scatter',2125,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,011 Filter by time,3625,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,012 Clear filters,1109,PriceExplorer
A - Price Explorer,12/15/2010 17:40,12/15/2010 17:41,013 Logout ,1281,Login
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:41,001 Open login page,234,Other
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:41,002 Login as 'regadminNL2',1484,Login
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:42,003 Navigate in main menu to 'Track and Analyze',8563,FolderNavigation
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:42,004 Navigate in folders to 'Price Explorer',4406,FolderNavigation
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:42,005 Set field 'Target Unit' to value 'Package',219,Client
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:42,006 Apply changes,1609,PriceExplorer
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:42,007 Set field 'Target Unit' to value 'Piece',281,Client
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:42,008 Set field 'Y Axis' to value 'Percent',422,Client
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:42,009 Apply changes,1906,PriceExplorer
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:43,010 Select graph type 'Scatter',2234,PriceExplorer
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:43,011 Filter by time,3344,PriceExplorer
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:43,012 Clear filters,1156,PriceExplorer
A - Price Explorer,12/15/2010 17:41,12/15/2010 17:43,013 Logout ,2563,Login
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:43,001 Open login page,188,Other
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:43,002 Login as 'regadminNL2',1547,Login
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:43,003 Navigate in main menu to 'Track and Analyze',7891,FolderNavigation
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:44,004 Navigate in folders to 'Price Explorer',3297,FolderNavigation
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:44,005 Set field 'Target Unit' to value 'Package',156,Client
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:44,006 Apply changes,1516,PriceExplorer
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:44,007 Set field 'Target Unit' to value 'Piece',297,Client
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:44,008 Set field 'Y Axis' to value 'Percent',375,Client
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:44,009 Apply changes,1891,PriceExplorer
A - Price Explorer,12/15/2010 17:43,12/15/2010 17:44,010 Select graph type 'Scatter',2344,PriceExplorer
B - Revenue Causality dashboard,12/15/2010 17:27,12/15/2010 17:33,012 Dashboard clear drills,7406,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:27,12/15/2010 17:33,013 Logout ,2031,Login
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:33,001 Open login page,234,Other
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:33,002 Login as 'managerSW' and wait for dashboard,7406,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:34,003 Load dashboard 'Revenue Causality',984,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:34,004 Dashboard clear drills,7516,Dashboard
B - Revenue Causality dashboard,12/15/2010 17:33,12/15/2010 17:35,005 Set time period in dashboard,9219,Dashboard
