TestName,StartTime,TimeStamp,ActionDesc,ActionDuration
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:17:50,"007 Set field 'Target Unit' to value 'Piece'",33798,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:18:25,"008 Dashboard drill down by 'Territory' 'SE'",27939,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:18:47,"009 Dashboard drill down by 'Territory' 'BT LV SE'",15032,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:19:11,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",16298,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:19:31,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",12876,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:20:09,"012 Dashboard clear drills",1094,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:14:07,2011/04/15 07:20:20,"013 Logout ",3360,"Login"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:20:20,"001 Open login page",328,"Other"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:20:43,"002 Login as 'pt_managerSW' and wait for dashboard",22642,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:20:56,"003 Load dashboard 'Revenue Causality'",13860,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:21:36,"004 Dashboard clear drills",13985,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:22:17,"005 Set time period in dashboard",3422,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:23:01,"006 Set field 'Target Unit' to value 'Meter'",35861,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:23:31,"007 Set field 'Target Unit' to value 'Piece'",22235,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:24:04,"008 Dashboard drill down by 'Territory' 'SE'",26751,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:24:25,"009 Dashboard drill down by 'Territory' 'BT LV SE'",13938,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:24:49,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",16329,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:25:10,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",14173,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:25:47,"012 Dashboard clear drills",12594,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:20:20,2011/04/15 07:25:58,"013 Logout ",3375,"Login"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:25:58,"001 Open login page",375,"Other"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:26:20,"002 Login as 'pt_managerSW' and wait for dashboard",21798,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:26:35,"003 Load dashboard 'Revenue Causality'",14719,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:27:14,"004 Dashboard clear drills",953,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:27:56,"005 Set time period in dashboard",3469,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:28:39,"006 Set field 'Target Unit' to value 'Meter'",34314,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:29:08,"007 Set field 'Target Unit' to value 'Piece'",21454,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:29:45,"008 Dashboard drill down by 'Territory' 'SE'",30267,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:30:08,"009 Dashboard drill down by 'Territory' 'BT LV SE'",15969,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:30:32,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",16391,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:30:54,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",14704,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:31:32,"012 Dashboard clear drills",12876,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:25:58,2011/04/15 07:31:44,"013 Logout ",4719,"Login"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:31:45,"001 Open login page",453,"Other"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:32:05,"002 Login as 'pt_managerSW' and wait for dashboard",20079,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:32:20,"003 Load dashboard 'Revenue Causality'",15016,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:32:59,"004 Dashboard clear drills",14719,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:33:41,"005 Set time period in dashboard",4016,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:34:25,"006 Set field 'Target Unit' to value 'Meter'",37127,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:34:53,"007 Set field 'Target Unit' to value 'Piece'",21173,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:35:26,"008 Dashboard drill down by 'Territory' 'SE'",25657,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:35:48,"009 Dashboard drill down by 'Territory' 'BT LV SE'",14657,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:36:11,"010 Dashboard drill down by 'Territory' 'Sales Office Sweden'",15923,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:36:32,"011 Dashboard drill down by 'Territory' 'Huvudkontor'",13547,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:37:10,"012 Dashboard clear drills",12735,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:31:44,2011/04/15 07:37:21,"013 Logout ",4469,"Login"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:37:22,"001 Open login page",469,"Other"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:37:45,"002 Login as 'pt_managerSW' and wait for dashboard",23173,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:38:00,"003 Load dashboard 'Revenue Causality'",14719,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:38:38,"004 Dashboard clear drills",13751,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:39:43,"005 Set time period in dashboard",26361,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:40:11,"006 Set field 'Target Unit' to value 'Meter'",20923,"Dashboard"
B - Revenue Causality dashboard,2011/04/15 07:37:21,2011/04/15 07:40:40,"007 Set field 'Target Unit' to value 'Piece'",21751,"Dashboard"
